Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Minecraft_Compass_LED_Board\Project Outputs for Minecraft_Compass_LED_Board\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       01/08/25
Time:       00:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment         Layer    Footprint             Center-X(mm) Center-Y(mm) Rotation Description                                                                                                     
C0         VJ0603Y104JXJAC TopLayer CAPC1608X92X38LL15T08 72.0000      80.0000      270      ""                                                                                                              
U46        1655            TopLayer ADA-RGB-1655_V        124.0000     112.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U45        1655            TopLayer ADA-RGB-1655_V        116.0000     112.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U44        1655            TopLayer ADA-RGB-1655_V        108.0000     112.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U43        1655            TopLayer ADA-RGB-1655_V        100.0000     112.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U42        1655            TopLayer ADA-RGB-1655_V        92.0000      112.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U41        1655            TopLayer ADA-RGB-1655_V        84.0000      112.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U40        1655            TopLayer ADA-RGB-1655_V        76.0000      112.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U39        1655            TopLayer ADA-RGB-1655_V        68.0000      112.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U38        1655            TopLayer ADA-RGB-1655_V        60.0000      112.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U37        1655            TopLayer ADA-RGB-1655_V        52.0000      104.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U36        1655            TopLayer ADA-RGB-1655_V        60.0000      104.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U35        1655            TopLayer ADA-RGB-1655_V        68.0000      104.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U34        1655            TopLayer ADA-RGB-1655_V        76.0000      104.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U33        1655            TopLayer ADA-RGB-1655_V        84.0000      104.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U32        1655            TopLayer ADA-RGB-1655_V        92.0000      104.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U31        1655            TopLayer ADA-RGB-1655_V        100.0000     104.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U30        1655            TopLayer ADA-RGB-1655_V        108.0000     104.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U29        1655            TopLayer ADA-RGB-1655_V        116.0000     104.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U28        1655            TopLayer ADA-RGB-1655_V        124.0000     104.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U27        1655            TopLayer ADA-RGB-1655_V        132.0000     104.0000     270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U26        1655            TopLayer ADA-RGB-1655_V        132.0000     96.0000      270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U25        1655            TopLayer ADA-RGB-1655_V        124.0000     96.0000      270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U24        1655            TopLayer ADA-RGB-1655_V        116.0000     96.0000      270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U23        1655            TopLayer ADA-RGB-1655_V        108.0000     96.0000      270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U22        1655            TopLayer ADA-RGB-1655_V        100.0000     96.0000      270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U21        1655            TopLayer ADA-RGB-1655_V        92.0000      96.0000      270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U20        1655            TopLayer ADA-RGB-1655_V        84.0000      96.0000      270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
U19        1655            TopLayer ADA-RGB-1655_V        76.0000      96.0000      270      "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel" 
